timeOpen,timeClose,timeHigh,timeLow,priceOpen,priceHigh,priceLow,priceClose,volume
1.64173E+12,1.64182E+12,1.6418E+12,1.64173E+12,3091.696372,3206.790791,3075.911316,3157.751485,12334683863
1.64164E+12,1.64173E+12,1.64168E+12,1.64172E+12,3193.502546,3240.304481,3020.880901,3091.972584,16037732700
1.64156E+12,1.64164E+12,1.64156E+12,1.64162E+12,3417.837875,3420.461956,3117.381448,3193.210483,24494179209
1.64147E+12,1.64156E+12,1.64147E+12,1.64151E+12,3549.709104,3549.709104,3335.376629,3418.408247,24293791313
1.64138E+12,1.64147E+12,1.64142E+12,1.64147E+12,3794.269145,3842.059728,3456.745396,3550.386882,18061338502
1.6413E+12,1.64138E+12,1.64135E+12,1.64131E+12,3761.361569,3876.785086,3723.349962,3794.056679,14030925983
1.64121E+12,1.6413E+12,1.64126E+12,1.64129E+12,3829.535741,3836.19881,3698.047686,3761.380274,12080777893
1.64112E+12,1.64121E+12,1.64119E+12,1.64114E+12,3769.298437,3836.161805,3727.357508,3829.565045,9881471548
1.64104E+12,1.64112E+12,1.64112E+12,1.64104E+12,3683.047156,3769.917862,3682.286631,3769.696916,9776191466
1.64095E+12,1.64104E+12,1.64099E+12,1.64102E+12,3713.430093,3807.28892,3636.869897,3682.632905,14157285268
1.64087E+12,1.64095E+12,1.64094E+12,1.64087E+12,3632.219817,3767.55987,3595.204883,3713.852163,12925377999
1.64078E+12,1.64087E+12,1.64079E+12,1.64086E+12,3797.436291,3827.981968,3612.795947,3628.531671,15722555672
1.64069E+12,1.64078E+12,1.64069E+12,1.64076E+12,4037.538043,4037.538043,3769.279931,3800.893085,17299472803
1.64061E+12,1.64069E+12,1.64067E+12,1.64069E+12,4064.746411,4126.001439,4033.492469,4037.547692,11424360002
1.64052E+12,1.64061E+12,1.64053E+12,1.64054E+12,4094.151678,4105.024157,4013.026304,4067.328097,11197244172
1.64043E+12,1.64052E+12,1.64051E+12,1.64047E+12,4049.781947,4138.565134,4027.927018,4093.280911,10894785525
1.64035E+12,1.64043E+12,1.64042E+12,1.64043E+12,4111.344979,4134.106319,4029.064564,4047.982889,12769090623
1.64026E+12,1.64035E+12,1.64033E+12,1.64029E+12,3981.961587,4149.026681,3897.234473,4108.015512,18007273742
1.64017E+12,1.64026E+12,1.64018E+12,1.64022E+12,4018.695908,4073.791511,3947.690156,3982.099531,13921756199
1.64009E+12,1.64017E+12,1.64013E+12,1.6401E+12,3938.463848,4058.821284,3918.838001,4020.26004,16388555198
1.64E+12,1.64009E+12,1.64001E+12,1.64005E+12,3923.69575,3980.098596,3759.4032,3933.844532,21589690675
1.63992E+12,1.64E+12,1.63993E+12,1.63999E+12,3960.872347,4018.658496,3894.398632,3922.592644,16167785597
1.63983E+12,1.63992E+12,1.63991E+12,1.63984E+12,3880.291489,3993.829941,3774.615017,3960.860016,19530895889
1.63974E+12,1.63983E+12,1.63975E+12,1.6398E+12,3959.012513,3992.792414,3711.424546,3879.486677,23143541098
1.63966E+12,1.63974E+12,1.63971E+12,1.63974E+12,4020.414922,4110.368589,3956.057022,3962.469639,19825531254
1.63957E+12,1.63966E+12,1.63964E+12,1.63963E+12,3862.251413,4086.372896,3664.719885,4018.388603,26411188833
1.63948E+12,1.63957E+12,1.63957E+12,1.63951E+12,3782.822867,3866.633772,3700.104767,3745.4404,23836759957
1.6394E+12,1.63948E+12,1.6394E+12,1.63947E+12,4136.359742,4145.955312,3680.609166,3784.226788,23999841386
1.63931E+12,1.6394E+12,1.63938E+12,1.63935E+12,4084.811332,4173.608903,3993.056,4134.453331,14057603914
1.63922E+12,1.63931E+12,1.63928E+12,1.63923E+12,3909.667775,4095.648525,3846.054477,4084.452329,19131502454
1.63914E+12,1.63922E+12,1.63919E+12,1.63922E+12,4113.588537,4227.111606,3897.767504,3908.496189,28014595631
1.63905E+12,1.63914E+12,1.63905E+12,1.63913E+12,4433.025049,4482.314098,4078.844203,4119.815798,22296131874
1.63896E+12,1.63905E+12,1.63902E+12,1.63901E+12,4311.674296,4453.112302,4234.537575,4439.357704,18704315119
1.63888E+12,1.63896E+12,1.63892E+12,1.63896E+12,4358.587128,4428.589248,4264.323633,4315.061543,22366213354
1.63879E+12,1.63888E+12,1.63887E+12,1.63883E+12,4199.000213,4375.520666,3930.806566,4358.737545,28229518513
1.63871E+12,1.63879E+12,1.63875E+12,1.63876E+12,4119.628801,4246.923464,4040.217524,4198.322873,25533062707
1.63862E+12,1.63871E+12,1.63862E+12,1.63864E+12,4227.761965,4242.725638,3525.494054,4119.58735,38478999182
1.63853E+12,1.63862E+12,1.63858E+12,1.63861E+12,4514.355866,4647.289266,4100.145614,4220.705928,25879591528
1.63845E+12,1.63853E+12,1.6385E+12,1.63851E+12,4586.332928,4628.920101,4441.507607,4511.302488,21502671027
1.63836E+12,1.63845E+12,1.63839E+12,1.63844E+12,4623.679444,4780.732484,4530.27258,4586.990131,27634826695
1.63827E+12,1.63836E+12,1.63833E+12,1.6383E+12,4447.76783,4753.266163,4358.074278,4631.478795,28626354111
1.63819E+12,1.63827E+12,1.63827E+12,1.63822E+12,4296.94682,4460.848802,4284.504735,4445.105008,19086475837
1.6381E+12,1.63819E+12,1.63819E+12,1.63817E+12,4101.648807,4297.916511,3989.969988,4294.453696,15953126340
1.63801E+12,1.6381E+12,1.63805E+12,1.63801E+12,4042.999049,4187.683994,4033.513942,4096.912088,16515693874
1.63793E+12,1.63801E+12,1.63793E+12,1.63797E+12,4522.209033,4550.842251,3933.506491,4030.909011,26281795488
1.63784E+12,1.63793E+12,1.63793E+12,1.63784E+12,4271.394668,4550.517893,4249.7742,4274.743241,18705358318
1.63776E+12,1.63784E+12,1.63776E+12,1.63781E+12,4340.035972,4376.875776,4176.183372,4239.981682,21838037128
1.63767E+12,1.63776E+12,1.63774E+12,1.63767E+12,4089.680464,4385.483455,4069.766581,4340.763727,22133497059
1.63758E+12,1.63767E+12,1.63763E+12,1.63766E+12,4266.509396,4302.023112,4033.5723,4088.457817,19752218877
1.6375E+12,1.63758E+12,1.63756E+12,1.63758E+12,4412.195155,4422.491533,4255.455285,4269.733034,14094831413
1.63741E+12,1.6375E+12,1.63749E+12,1.63747E+12,4298.350553,4434.388261,4209.24282,4409.930925,15448261277
1.63732E+12,1.63741E+12,1.6374E+12,1.63732E+12,3995.729605,4311.714075,3982.917367,4298.30662,20626269711
1.63724E+12,1.63732E+12,1.63725E+12,1.63732E+12,4287.802301,4343.556959,3959.22779,4000.650865,21383250893
1.63715E+12,1.63724E+12,1.63724E+12,1.63719E+12,4213.910749,4300.306879,4107.126076,4287.593935,22183461850
1.63706E+12,1.63715E+12,1.63709E+12,1.6371E+12,4570.478025,4891.704698,4144.334998,4216.365233,27417502801
1.63698E+12,1.63706E+12,1.63703E+12,1.63706E+12,4627.091017,4764.6363,4546.59899,4557.50379,16275851299
1.63689E+12,1.63698E+12,1.63689E+12,1.63695E+12,4648.632579,4689.842946,4516.935772,4626.359126,12172962219
1.6368E+12,1.63689E+12,1.63681E+12,1.63684E+12,4666.719145,4702.115087,4582.18061,4651.460545,14457436261
1.63672E+12,1.6368E+12,1.63673E+12,1.63678E+12,4724.30661,4808.738602,4510.920605,4667.115437,18316060208
1.63663E+12,1.63672E+12,1.63669E+12,1.63663E+12,4635.453797,4778.059224,4580.990086,4730.384039,17933201129
1.63655E+12,1.63663E+12,1.6366E+12,1.63662E+12,4733.36296,4859.503073,4485.093444,4636.174214,22748160545
1.63646E+12,1.63655E+12,1.63648E+12,1.63653E+12,4810.071533,4837.589557,4718.039256,4735.068755,20834172627
1.63637E+12,1.63646E+12,1.63646E+12,1.63637E+12,4619.649549,4822.363242,4619.649549,4812.087614,19290896267
1.63629E+12,1.63637E+12,1.63636E+12,1.63629E+12,4523.982161,4640.922037,4510.984411,4620.554503,13541376033
1.6362E+12,1.63629E+12,1.63628E+12,1.63624E+12,4482.647973,4530.996953,4334.973587,4521.581083,14429076700
1.63611E+12,1.6362E+12,1.63614E+12,1.63619E+12,4537.42337,4570.895951,4447.487296,4486.243405,15086003586
1.63603E+12,1.63611E+12,1.63603E+12,1.63609E+12,4604.678632,4606.516313,4426.622763,4537.324081,18415244464
1.63594E+12,1.63603E+12,1.63601E+12,1.63599E+12,4589.684616,4664.910076,4462.976107,4607.193607,21220463155
1.63585E+12,1.63594E+12,1.63594E+12,1.63586E+12,4322.501056,4599.94841,4288.686751,4584.798668,20794448222
1.63577E+12,1.63585E+12,1.63582E+12,1.63578E+12,4288.21747,4377.322191,4160.966843,4324.626794,17985288261
1.63568E+12,1.63577E+12,1.63568E+12,1.63573E+12,4322.744373,4394.44988,4179.016007,4288.074452,17498160238
1.6356E+12,1.63568E+12,1.6356E+12,1.63565E+12,4414.243448,4426.848659,4252.493921,4325.650366,14615490626
1.63551E+12,1.6356E+12,1.63557E+12,1.63551E+12,4288.686671,4455.735397,4271.707346,4414.746682,22967641914
1.63542E+12,1.63551E+12,1.63549E+12,1.63543E+12,3924.815524,4293.151101,3905.706114,4287.318632,25958154575
1.63534E+12,1.63542E+12,1.63535E+12,1.63542E+12,4132.17335,4299.153044,3930.257245,3930.257245,26219530404
1.63525E+12,1.63534E+12,1.63532E+12,1.63533E+12,4217.337926,4289.131262,4106.8239,4131.102003,17157714562
1.63516E+12,1.63525E+12,1.63522E+12,1.63516E+12,4084.425666,4236.667124,4072.034601,4217.876926,15995727040
1.63508E+12,1.63516E+12,1.63508E+12,1.63514E+12,4171.856106,4185.729251,3967.120442,4087.903005,14978083638
1.63499E+12,1.63508E+12,1.63508E+12,1.63503E+12,3971.356462,4171.663532,3944.631774,4171.663532,14781537792
1.6349E+12,1.63499E+12,1.63492E+12,1.63496E+12,4055.686471,4162.975429,3908.340273,3970.181904,19432937968
1.63482E+12,1.6349E+12,1.63486E+12,1.63487E+12,4161.713581,4366.088359,4032.483888,4054.322681,28220661820
1.63473E+12,1.63482E+12,1.63482E+12,1.63475E+12,3877.731011,4167.472407,3833.28799,4155.992211,20338319988
1.63464E+12,1.63473E+12,1.63473E+12,1.63465E+12,3747.162905,3883.928641,3736.780182,3877.650975,15998757133
1.63456E+12,1.63464E+12,1.63456E+12,1.63461E+12,3847.730052,3888.209283,3686.750385,3748.760141,17386204158
1.63447E+12,1.63456E+12,1.6345E+12,1.63455E+12,3829.85881,3914.898065,3660.723387,3847.104595,15908090346
1.63439E+12,1.63447E+12,1.63443E+12,1.63447E+12,3865.666568,3962.453134,3805.886024,3830.382149,16578095629
1.6343E+12,1.63439E+12,1.63437E+12,1.6343E+12,3790.154403,3895.466279,3735.363509,3862.634765,20966841512
1.63421E+12,1.6343E+12,1.63427E+12,1.63422E+12,3604.958915,3819.258477,3590.2752,3786.01409,19443499909
1.63413E+12,1.63421E+12,1.63421E+12,1.63418E+12,3492.753542,3607.741644,3417.60209,3606.20158,16211275589
1.63404E+12,1.63413E+12,1.63404E+12,1.63409E+12,3546.477837,3546.477837,3407.338087,3492.573272,18109578443
1.63395E+12,1.63404E+12,1.63398E+12,1.63395E+12,3419.726904,3622.289517,3385.761699,3545.354076,18579189588
1.63387E+12,1.63395E+12,1.63389E+12,1.63395E+12,3575.020624,3603.244923,3414.971046,3425.852853,16171746693
1.63378E+12,1.63387E+12,1.63383E+12,1.63378E+12,3559.997869,3628.237253,3544.640323,3575.71686,12707036942
1.63369E+12,1.63378E+12,1.63373E+12,1.63377E+12,3587.83284,3667.957529,3547.828015,3563.759219,16222029488
1.63361E+12,1.63369E+12,1.63369E+12,1.63361E+12,3576.814557,3650.013232,3479.909227,3587.974768,19090322927
1.63352E+12,1.63361E+12,1.63358E+12,1.63356E+12,3516.570219,3622.55125,3354.469645,3580.562049,21855226591
1.63344E+12,1.63352E+12,1.63351E+12,1.63345E+12,3381.78443,3541.451705,3365.817723,3518.518517,16632591670
